id,password,strength
0,football$1,medium
1,123456692,weak
2,iloveu2020x,medium
3,password95,weak
4,monkey616,weak
5,letmein733,weak
6,iloveu1231,medium
7,welcome828,weak
8,1zl-zhh#T93O_C,strong
9,purple_99,medium
10,flower20201,medium
11,purple$1,medium
12,CI@mBY1ZfWOsJ,strong
13,monkey224,weak
14,purple20201,medium
15,purple$99,medium
16,letmein935,weak
17,qL^Wkk4O4GSB+kL5$,strong
18,qwerty811,weak
19,iloveu202099,medium
20,sunshine541,weak
21,monkey881,weak
22,ZOuWiHI-%uMn*,strong
23,@MpCm-(*TLiB=9ss,strong
24,football2020x,medium
25,123456778,weak
26,baseball!x,medium
27,monkey169,weak
28,dragon433,weak
29,502EZC&IsebQSa1efczN,strong
30,sunshine219,weak
31,flower_x,medium
32,sunshine826,weak
33,12345699,weak
34,computer12399,medium
35,password689,weak
36,flower20201,medium
37,admin819,weak
38,oOknJ%f9$hXPbh5,strong
39,iloveyou497,weak
40,iloveyou924,weak
41,iloveyou2,weak
42,(7v037YKoqe3exdK,strong
43,l_goTZrj^sTVFSN)p2sE,strong
44,computer12399,medium
45,aVQhOMkAfsvHP,strong
46,monkey8,weak
47,iloveu$x,medium
48,qwerty270,weak
49,123456760,weak
50,computer$x,medium
51,admin208,weak
52,purple$x,medium
53,password94,weak
54,purple$1,medium
55,qwerty652,weak
56,4PGaf^&P@Sljx&,strong
57,purple202099,medium
58,letmein682,weak
59,monkey905,weak
60,(rm8nFn(7FY3sm,strong
61,coffee202099,medium
62,sunshine358,weak
63,letmein228,weak
64,letmein408,weak
65,123456990,weak
66,computer_99,medium
67,purple_99,medium
68,%tS=cTA7H=i&o,strong
69,iloveyou1,weak
70,purple_x,medium
71,flower!99,medium
72,admin638,weak
73,123456737,weak
74,xFEwjF)Z&UwPavGSXJHq,strong
75,qwerty674,weak
76,monkey679,weak
77,computer20201,medium
78,baseball!1,medium
79,letmein486,weak
80,purple202099,medium
81,dragon199,weak
82,coffee12399,medium
83,password914,weak
84,purple202099,medium
85,monkey475,weak
86,letmein939,weak
87,coffee!99,medium
88,iloveu_99,medium
89,U2M@P&4KtsW6NVufvuy,strong
90,baseball!1,medium
91,qwerty723,weak
92,iloveyou417,weak
93,sunshine425,weak
94,iloveyou398,weak
95,$6CaA5#-F4PT,strong
96,letmein279,weak
97,password398,weak
98,iloveyou741,weak
99,sunshine941,weak
100,dragon546,weak
101,iloveyou606,weak
102,football2020x,medium
103,sunshine186,weak
104,iloveyou335,weak
105,admin345,weak
106,coffee$99,medium
107,123456481,weak
108,monkey53,weak
109,rf-dcs@VsJi-JtCU_,strong
110,purple!99,medium
111,password951,weak
112,iloveyou406,weak
113,f0Vh6#Tj=7AGCMz,strong
114,purple1231,medium
115,admin650,weak
116,1H3_u9OKH3u#@g^sJUC,strong
117,admin186,weak
118,admin816,weak
119,welcome901,weak
120,computer_1,medium
121,baseball20201,medium
122,coffee_1,medium
123,flower12399,medium
124,football$1,medium
125,letmein313,weak
126,computer123x,medium
127,coffee_99,medium
128,sunshine277,weak
129,letmein123,weak
130,computer2020x,medium
131,purple!1,medium
132,sunshine283,weak
133,purple_x,medium
134,123456852,weak
135,letmein369,weak
136,password725,weak
137,computer20201,medium
138,flower!x,medium
139,havKz_t$ieLR0l9-gsQ,strong
140,dragon809,weak
141,purple_99,medium
142,sunshine304,weak
143,xVU4-pqYlnfaITwr11,strong
144,letmein946,weak
145,dragon677,weak
146,baseball1231,medium
147,flower!99,medium
148,football20201,medium
149,iloveu_99,medium
150,sunshine705,weak
151,iloveyou965,weak
152,monkey505,weak
153,dragon40,weak
154,TbrZ$Sb6!R5nNHv+H,strong
155,football12399,medium
156,admin686,weak
